release_tag	release_commit	module	package	api_status	test_status	observed_percent
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/auth/authz	stable	direct-tests	77.6
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/auth/jwt	stable	direct-tests	93.3
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/auth/tenant	stable	direct-tests	84.0
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/deprecation	stable	direct-tests	83.3
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/idempotency	stable	direct-tests	71.6
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/json	stable	direct-tests	70.6
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/maxbody	stable	direct-tests	85.7
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/querylimits	stable	direct-tests	95.0
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/ratelimit	stable	direct-tests	68.6
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/secure	stable	direct-tests	76.4
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/timeout	stable	direct-tests	79.4
v3.1.2	85150460b7427b9b5ea14e01d22f577be90edd43	root	github.com/aatuh/api-toolkit/v3/middleware/trace	stable	direct-tests	80.2
